,Location,Position,LocalTime,Conditions,Temperature,Pressure,Humidity,hour,xcoordloc,ycoordloc
47,GoldCoast,"-28.07,153.44",2017-11-23T21:29:59Z,Rain,12.726943053497394,997,99,21,-28.0,153.0
48,Hobart,"-42.85,147.29",2017-11-23T21:29:59Z,Rain,10.683184980128999,1009,100,21,-42.0,147.0
49,Cairns,"-16.92,145.75",2017-11-23T21:29:59Z,Rain,16.143363869806535,993,89,21,-16.0,145.0
50,Sydney,"-33.86,151.21,39",2017-11-23T22:29:59Z,Very Cold,0.029790076649305774,999,18,22,-33.0,151.0
51,Brisbane,"-27.46,153.02",2017-11-23T22:29:59Z,Cold,11.948716275796357,1011,55,22,-27.0,153.0
52,Melbourne,"-37.83,144.98,7",2017-11-23T22:29:59Z,Very Cold,4.508003131450039,996,67,22,-37.0,144.0
53,Adelaide,"-34.92,138.62,48",2017-11-23T22:29:59Z,Rain,9.587291815650133,994,95,22,-34.0,138.0
54,Perth,"-31.95,115.86",2017-11-23T22:29:59Z,Very Cold,6.742164395860243,1000,40,22,-31.0,115.0
55,Darwin,"-12.46,130.84",2017-11-23T22:29:59Z,Sunny,23.451720652670417,1019,57,22,-12.0,130.0
56,Canberra,"-35.28,149.13",2017-11-23T22:29:59Z,Very Cold,5.694112674500332,1015,26,22,-35.0,149.0
57,GoldCoast,"-28.07,153.44",2017-11-23T22:29:59Z,Rain,11.858872012987888,994,98,22,-28.0,153.0
58,Hobart,"-42.85,147.29",2017-11-23T22:29:59Z,Very Cold,7.361325487870431,1013,65,22,-42.0,147.0
59,Cairns,"-16.92,145.75",2017-11-23T22:29:59Z,Rain,16.45537415149056,991,94,22,-16.0,145.0
60,Sydney,"-33.86,151.21,39",2017-11-23T23:29:59Z,Very Cold,2.2948120245786185,1002,25,23,-33.0,151.0
61,Brisbane,"-27.46,153.02",2017-11-23T23:29:59Z,Cold,11.550932991456705,1017,36,23,-27.0,153.0
62,Melbourne,"-37.83,144.98,7",2017-11-23T23:29:59Z,Rain,10.663264217362837,1006,85,23,-37.0,144.0
63,Adelaide,"-34.92,138.62,48",2017-11-23T23:29:59Z,Rain,5.445149395818987,985,85,23,-34.0,138.0
64,Perth,"-31.95,115.86",2017-11-23T23:29:59Z,Very Cold,9.696294103697312,1000,59,23,-31.0,115.0
65,Darwin,"-12.46,130.84",2017-11-23T23:29:59Z,Sunny,20.03515599337004,1005,64,23,-12.0,130.0
66,Canberra,"-35.28,149.13",2017-11-23T23:29:59Z,Cold,14.58511899392812,1018,80,23,-35.0,149.0
67,GoldCoast,"-28.07,153.44",2017-11-23T23:29:59Z,Very Cold,-3.04988230907702,984,14,23,-28.0,153.0
68,Hobart,"-42.85,147.29",2017-11-23T23:29:59Z,Very Cold,-2.0236841720345637,990,51,23,-42.0,147.0
69,Cairns,"-16.92,145.75",2017-11-23T23:29:59Z,Rain,16.376017649539847,995,82,23,-16.0,145.0
70,Sydney,"-33.86,151.21,39",2017-11-24T00:29:59Z,Very Cold,-11.823092715793507,988,3,0,-33.0,151.0
71,Brisbane,"-27.46,153.02",2017-11-24T00:29:59Z,Very Cold,1.0886631908230697,1019,2,0,-27.0,153.0
72,Melbourne,"-37.83,144.98,7",2017-11-24T00:29:59Z,Very Cold,-1.193005297593288,1011,34,0,-37.0,144.0
73,Adelaide,"-34.92,138.62,48",2017-11-24T00:29:59Z,Rain,2.6430652863853084,996,84,0,-34.0,138.0
74,Perth,"-31.95,115.86",2017-11-24T00:29:59Z,Very Cold,-0.6092131115464099,1005,19,0,-31.0,115.0
75,Darwin,"-12.46,130.84",2017-11-24T00:29:59Z,Rain,17.963551256076073,1003,99,0,-12.0,130.0
76,Canberra,"-35.28,149.13",2017-11-24T00:29:59Z,Very Cold,-4.691830402374023,997,38,0,-35.0,149.0
77,GoldCoast,"-28.07,153.44",2017-11-24T00:29:59Z,Very Cold,-3.800427333294465,983,56,0,-28.0,153.0
78,Hobart,"-42.85,147.29",2017-11-24T00:29:59Z,Very Cold,-6.736328975801598,1013,8,0,-42.0,147.0
79,Cairns,"-16.92,145.75",2017-11-24T00:29:59Z,Rain,19.944627907243614,1020,93,0,-16.0,145.0
80,Sydney,"-33.86,151.21,39",2017-11-24T01:29:59Z,Rain,6.628856765949422,1004,94,1,-33.0,151.0
81,Brisbane,"-27.46,153.02",2017-11-24T01:29:59Z,Very Cold,-9.153099397277572,985,8,1,-27.0,153.0
82,Melbourne,"-37.83,144.98,7",2017-11-24T01:29:59Z,Very Cold,-3.825757029944043,1012,11,1,-37.0,144.0
83,Adelaide,"-34.92,138.62,48",2017-11-24T01:29:59Z,Very Cold,-7.488207940166433,983,41,1,-34.0,138.0
84,Perth,"-31.95,115.86",2017-11-24T01:29:59Z,Rain,11.503610392073028,1013,84,1,-31.0,115.0
85,Darwin,"-12.46,130.84",2017-11-24T01:29:59Z,Very Cold,0.9450226823760204,985,19,1,-12.0,130.0
86,Canberra,"-35.28,149.13",2017-11-24T01:29:59Z,Very Cold,-0.5053651772134344,999,61,1,-35.0,149.0
87,GoldCoast,"-28.07,153.44",2017-11-24T01:29:59Z,Very Cold,-0.8827676260803514,985,70,1,-28.0,153.0
88,Hobart,"-42.85,147.29",2017-11-24T01:29:59Z,Very Cold,-15.938988632591588,980,19,1,-42.0,147.0
89,Cairns,"-16.92,145.75",2017-11-24T01:29:59Z,Rain,5.300966812757736,980,82,1,-16.0,145.0
90,Sydney,"-33.86,151.21,39",2017-11-24T02:29:59Z,Rain,8.309279344230902,1012,85,2,-33.0,151.0
91,Brisbane,"-27.46,153.02",2017-11-24T02:29:59Z,Very Cold,1.9570911756542273,990,73,2,-27.0,153.0
92,Melbourne,"-37.83,144.98,7",2017-11-24T02:29:59Z,Very Cold,-9.299841745749688,991,20,2,-37.0,144.0
93,Adelaide,"-34.92,138.62,48",2017-11-24T02:29:59Z,Very Cold,-0.6536423175639925,1006,33,2,-34.0,138.0
94,Perth,"-31.95,115.86",2017-11-24T02:29:59Z,Very Cold,3.1054494683485814,990,77,2,-31.0,115.0
95,Darwin,"-12.46,130.84",2017-11-24T02:29:59Z,Sunny,17.011222102006798,1012,67,2,-12.0,130.0
96,Canberra,"-35.28,149.13",2017-11-24T02:29:59Z,Very Cold,-9.268226107167777,996,4,2,-35.0,149.0
97,GoldCoast,"-28.07,153.44",2017-11-24T02:29:59Z,Rain,4.09241213763886,994,82,2,-28.0,153.0
98,Hobart,"-42.85,147.29",2017-11-24T02:29:59Z,Very Cold,-16.5457886974512,982,8,2,-42.0,147.0
99,Cairns,"-16.92,145.75",2017-11-24T02:29:59Z,Sunny,15.9686157666045,1017,68,2,-16.0,145.0
100,Sydney,"-33.86,151.21,39",2017-11-24T03:29:59Z,Very Cold,-8.563369226977159,986,25,3,-33.0,151.0
101,Brisbane,"-27.46,153.02",2017-11-24T03:29:59Z,Very Cold,5.0690628285611865,1020,22,3,-27.0,153.0
102,Melbourne,"-37.83,144.98,7",2017-11-24T03:29:59Z,Very Cold,1.220847845925391,1009,50,3,-37.0,144.0
103,Adelaide,"-34.92,138.62,48",2017-11-24T03:29:59Z,Very Cold,8.164424000617714,1013,77,3,-34.0,138.0
104,Perth,"-31.95,115.86",2017-11-24T03:29:59Z,Very Cold,-0.8946352009196517,1008,4,3,-31.0,115.0
105,Darwin,"-12.46,130.84",2017-11-24T03:29:59Z,Cold,10.779991236656542,990,73,3,-12.0,130.0
106,Canberra,"-35.28,149.13",2017-11-24T03:29:59Z,Very Cold,-3.1396317986599342,992,55,3,-35.0,149.0
107,GoldCoast,"-28.07,153.44",2017-11-24T03:29:59Z,Very Cold,2.639741727481635,996,65,3,-28.0,153.0
108,Hobart,"-42.85,147.29",2017-11-24T03:29:59Z,Very Cold,-7.168710427346696,997,37,3,-42.0,147.0
109,Cairns,"-16.92,145.75",2017-11-24T03:29:59Z,Very Cold,3.0117937511049604,985,50,3,-16.0,145.0
110,Sydney,"-33.86,151.21,39",2017-11-24T04:29:59Z,Very Cold,-1.557336184157748,988,68,4,-33.0,151.0
111,Brisbane,"-27.46,153.02",2017-11-24T04:29:59Z,Very Cold,-3.658407460450121,988,34,4,-27.0,153.0
112,Melbourne,"-37.83,144.98,7",2017-11-24T04:29:59Z,Rain,2.2475533052422065,991,98,4,-37.0,144.0
113,Adelaide,"-34.92,138.62,48",2017-11-24T04:29:59Z,Very Cold,0.46625341969894407,998,56,4,-34.0,138.0
114,Perth,"-31.95,115.86",2017-11-24T04:29:59Z,Very Cold,1.9332209508614824,984,79,4,-31.0,115.0
115,Darwin,"-12.46,130.84",2017-11-24T04:29:59Z,Very Cold,9.515651800903186,1001,36,4,-12.0,130.0
116,Canberra,"-35.28,149.13",2017-11-24T04:29:59Z,Very Cold,-4.75994737710505,980,70,4,-35.0,149.0
117,GoldCoast,"-28.07,153.44",2017-11-24T04:29:59Z,Very Cold,2.2833300553739946,992,70,4,-28.0,153.0
118,Hobart,"-42.85,147.29",2017-11-24T04:29:59Z,Rain,-2.095003244656482,989,90,4,-42.0,147.0
119,Cairns,"-16.92,145.75",2017-11-24T04:29:59Z,Cold,14.07080948858669,1016,53,4,-16.0,145.0
120,Sydney,"-33.86,151.21,39",2017-11-24T05:29:59Z,Very Cold,2.5099158159158037,1012,38,5,-33.0,151.0
121,Brisbane,"-27.46,153.02",2017-11-24T05:29:59Z,Rain,5.091620468094675,991,87,5,-27.0,153.0
122,Melbourne,"-37.83,144.98,7",2017-11-24T05:29:59Z,Rain,0.0742067461633269,990,83,5,-37.0,144.0
123,Adelaide,"-34.92,138.62,48",2017-11-24T05:29:59Z,Very Cold,3.5880282958239036,1012,43,5,-34.0,138.0
124,Perth,"-31.95,115.86",2017-11-24T05:29:59Z,Rain,5.059897438595442,990,85,5,-31.0,115.0
125,Darwin,"-12.46,130.84",2017-11-24T05:29:59Z,Very Cold,5.3321377688400275,1002,2,5,-12.0,130.0
126,Canberra,"-35.28,149.13",2017-11-24T05:29:59Z,Very Cold,-11.606266641437173,984,10,5,-35.0,149.0
127,GoldCoast,"-28.07,153.44",2017-11-24T05:29:59Z,Very Cold,-5.529152139022756,991,15,5,-28.0,153.0
128,Hobart,"-42.85,147.29",2017-11-24T05:29:59Z,Very Cold,1.9406803664031145,1007,74,5,-42.0,147.0
129,Cairns,"-16.92,145.75",2017-11-24T05:29:59Z,Very Cold,3.7463036760220234,1002,11,5,-16.0,145.0
130,Sydney,"-33.86,151.21,39",2017-11-24T06:29:59Z,Very Cold,-0.36342108596886646,1003,37,6,-33.0,151.0
131,Brisbane,"-27.46,153.02",2017-11-24T06:29:59Z,Very Cold,8.751721490026341,1018,47,6,-27.0,153.0
132,Melbourne,"-37.83,144.98,7",2017-11-24T06:29:59Z,Rain,2.4072670837296073,997,81,6,-37.0,144.0
133,Adelaide,"-34.92,138.62,48",2017-11-24T06:29:59Z,Very Cold,5.716973464479281,1007,68,6,-34.0,138.0
134,Perth,"-31.95,115.86",2017-11-24T06:29:59Z,Very Cold,8.072262312851421,1010,57,6,-31.0,115.0
135,Darwin,"-12.46,130.84",2017-11-24T06:29:59Z,Rain,14.478434092628675,991,91,6,-12.0,130.0
136,Canberra,"-35.28,149.13",2017-11-24T06:29:59Z,Very Cold,-10.061920842429629,984,19,6,-35.0,149.0
137,GoldCoast,"-28.07,153.44",2017-11-24T06:29:59Z,Very Cold,1.6445260720845454,1007,26,6,-28.0,153.0
138,Hobart,"-42.85,147.29",2017-11-24T06:29:59Z,Very Cold,-11.073297455835473,982,39,6,-42.0,147.0
139,Cairns,"-16.92,145.75",2017-11-24T06:29:59Z,Cold,10.83125769137638,1019,19,6,-16.0,145.0
140,Sydney,"-33.86,151.21,39",2017-11-24T07:29:59Z,Very Cold,0.47113114701505765,1011,22,7,-33.0,151.0
141,Brisbane,"-27.46,153.02",2017-11-24T07:29:59Z,Very Cold,9.366374359592328,1011,66,7,-27.0,153.0
142,Melbourne,"-37.83,144.98,7",2017-11-24T07:29:59Z,Rain,-1.3435085524666306,982,88,7,-37.0,144.0
143,Adelaide,"-34.92,138.62,48",2017-11-24T07:29:59Z,Very Cold,-1.8560029200634744,989,55,7,-34.0,138.0
144,Perth,"-31.95,115.86",2017-11-24T07:29:59Z,Very Cold,1.0582978802314074,1000,29,7,-31.0,115.0
145,Darwin,"-12.46,130.84",2017-11-24T07:29:59Z,Sunny,15.146420517004572,1012,44,7,-12.0,130.0
146,Canberra,"-35.28,149.13",2017-11-24T07:29:59Z,Very Cold,-4.418319124918639,995,31,7,-35.0,149.0
147,GoldCoast,"-28.07,153.44",2017-11-24T07:29:59Z,Very Cold,3.5851402663361114,993,71,7,-28.0,153.0
148,Hobart,"-42.85,147.29",2017-11-24T07:29:59Z,Very Cold,4.319578398394526,1015,68,7,-42.0,147.0
149,Cairns,"-16.92,145.75",2017-11-24T07:29:59Z,Very Cold,6.625978493517323,998,37,7,-16.0,145.0
150,Sydney,"-33.86,151.21,39",2017-11-24T08:29:59Z,Very Cold,9.116650685299817,1012,79,8,-33.0,151.0
151,Brisbane,"-27.46,153.02",2017-11-24T08:29:59Z,Very Cold,4.1279732017115975,1008,34,8,-27.0,153.0
152,Melbourne,"-37.83,144.98,7",2017-11-24T08:29:59Z,Very Cold,3.4651054026444967,1004,68,8,-37.0,144.0
153,Adelaide,"-34.92,138.62,48",2017-11-24T08:29:59Z,Very Cold,-6.765094712657344,995,4,8,-34.0,138.0
154,Perth,"-31.95,115.86",2017-11-24T08:29:59Z,Very Cold,-1.6533748246542928,986,41,8,-31.0,115.0
155,Darwin,"-12.46,130.84",2017-11-24T08:29:59Z,Rain,11.368978103403379,983,84,8,-12.0,130.0
156,Canberra,"-35.28,149.13",2017-11-24T08:29:59Z,Rain,1.9606635763410623,985,98,8,-35.0,149.0
157,GoldCoast,"-28.07,153.44",2017-11-24T08:29:59Z,Rain,13.239273706597373,1016,83,8,-28.0,153.0
158,Hobart,"-42.85,147.29",2017-11-24T08:29:59Z,Very Cold,-5.540620629289322,991,53,8,-42.0,147.0
159,Cairns,"-16.92,145.75",2017-11-24T08:29:59Z,Very Cold,3.7526415916326528,989,36,8,-16.0,145.0
160,Sydney,"-33.86,151.21,39",2017-11-24T09:29:59Z,Rain,8.039562864270522,1005,86,9,-33.0,151.0
161,Brisbane,"-27.46,153.02",2017-11-24T09:29:59Z,Cold,12.188893370348637,1014,75,9,-27.0,153.0
162,Melbourne,"-37.83,144.98,7",2017-11-24T09:29:59Z,Very Cold,-1.8876073687142139,1015,2,9,-37.0,144.0
163,Adelaide,"-34.92,138.62,48",2017-11-24T09:29:59Z,Very Cold,0.06839155026517574,991,60,9,-34.0,138.0
164,Perth,"-31.95,115.86",2017-11-24T09:29:59Z,Very Cold,-1.6646929369680947,994,20,9,-31.0,115.0
165,Darwin,"-12.46,130.84",2017-11-24T09:29:59Z,Sunny,19.503917632966306,1012,71,9,-12.0,130.0
166,Canberra,"-35.28,149.13",2017-11-24T09:29:59Z,Rain,11.53695540374747,1020,81,9,-35.0,149.0
167,GoldCoast,"-28.07,153.44",2017-11-24T09:29:59Z,Very Cold,-8.385268542398762,980,13,9,-28.0,153.0
168,Hobart,"-42.85,147.29",2017-11-24T09:29:59Z,Very Cold,-5.2808645427351735,988,60,9,-42.0,147.0
169,Cairns,"-16.92,145.75",2017-11-24T09:29:59Z,Very Cold,6.253347097486824,1010,2,9,-16.0,145.0
170,Sydney,"-33.86,151.21,39",2017-11-24T10:29:59Z,Very Cold,-2.2898445599032584,999,25,10,-33.0,151.0
171,Brisbane,"-27.46,153.02",2017-11-24T10:29:59Z,Rain,9.372712275202957,998,91,10,-27.0,153.0
172,Melbourne,"-37.83,144.98,7",2017-11-24T10:29:59Z,Rain,3.091394646934134,989,97,10,-37.0,144.0
173,Adelaide,"-34.92,138.62,48",2017-11-24T10:29:59Z,Rain,5.57591648850223,994,90,10,-34.0,138.0
174,Perth,"-31.95,115.86",2017-11-24T10:29:59Z,Cold,11.811641251639742,1020,52,10,-31.0,115.0
175,Darwin,"-12.46,130.84",2017-11-24T10:29:59Z,Cold,13.299353545020892,1004,44,10,-12.0,130.0
176,Canberra,"-35.28,149.13",2017-11-24T10:29:59Z,Very Cold,-1.638686615490144,1000,33,10,-35.0,149.0
177,GoldCoast,"-28.07,153.44",2017-11-24T10:29:59Z,Very Cold,4.359506914389385,992,73,10,-28.0,153.0
178,Hobart,"-42.85,147.29",2017-11-24T10:29:59Z,Very Cold,-7.422642712800155,993,31,10,-42.0,147.0
179,Cairns,"-16.92,145.75",2017-11-24T10:29:59Z,Cold,14.094367902705983,1001,77,10,-16.0,145.0
180,Sydney,"-33.86,151.21,39",2017-11-24T11:29:59Z,Rain,8.559075037378761,999,100,11,-33.0,151.0
181,Brisbane,"-27.46,153.02",2017-11-24T11:29:59Z,Rain,15.523071749506698,1016,90,11,-27.0,153.0
182,Melbourne,"-37.83,144.98,7",2017-11-24T11:29:59Z,Very Cold,1.394316815313914,1016,19,11,-37.0,144.0
183,Adelaide,"-34.92,138.62,48",2017-11-24T11:29:59Z,Very Cold,0.630354695285348,1002,34,11,-34.0,138.0
184,Perth,"-31.95,115.86",2017-11-24T11:29:59Z,Rain,16.441727455565115,1017,90,11,-31.0,115.0
185,Darwin,"-12.46,130.84",2017-11-24T11:29:59Z,Cold,11.167378598174082,993,53,11,-12.0,130.0
186,Canberra,"-35.28,149.13",2017-11-24T11:29:59Z,Very Cold,-2.345093459000566,992,45,11,-35.0,149.0
187,GoldCoast,"-28.07,153.44",2017-11-24T11:29:59Z,Very Cold,5.116217534518228,1012,29,11,-28.0,153.0
188,Hobart,"-42.85,147.29",2017-11-24T11:29:59Z,Very Cold,3.3800036606407957,1011,63,11,-42.0,147.0
189,Cairns,"-16.92,145.75",2017-11-24T11:29:59Z,Rain,18.892099274919303,1012,83,11,-16.0,145.0
190,Sydney,"-33.86,151.21,39",2017-11-24T12:29:59Z,Very Cold,-2.3658143393407727,987,49,12,-33.0,151.0
191,Brisbane,"-27.46,153.02",2017-11-24T12:29:59Z,Very Cold,7.940292141745886,1014,39,12,-27.0,153.0
192,Melbourne,"-37.83,144.98,7",2017-11-24T12:29:59Z,Very Cold,1.936029683633933,1013,28,12,-37.0,144.0
193,Adelaide,"-34.92,138.62,48",2017-11-24T12:29:59Z,Very Cold,2.290091467450793,1015,13,12,-34.0,138.0
194,Perth,"-31.95,115.86",2017-11-24T12:29:59Z,Very Cold,8.87473204231128,1018,32,12,-31.0,115.0
195,Darwin,"-12.46,130.84",2017-11-24T12:29:59Z,Sunny,20.173775890759657,1009,77,12,-12.0,130.0
196,Canberra,"-35.28,149.13",2017-11-24T12:29:59Z,Very Cold,-0.4970257124312525,1014,4,12,-35.0,149.0
197,GoldCoast,"-28.07,153.44",2017-11-24T12:29:59Z,Cold,11.22412603690998,1013,68,12,-28.0,153.0
198,Hobart,"-42.85,147.29",2017-11-24T12:29:59Z,Very Cold,-4.250128530641007,1000,33,12,-42.0,147.0
199,Cairns,"-16.92,145.75",2017-11-24T12:29:59Z,Very Cold,7.961228926910906,981,77,12,-16.0,145.0
200,Sydney,"-33.86,151.21,39",2017-11-24T13:29:59Z,Very Cold,5.3097200169503935,1018,28,13,-33.0,151.0
201,Brisbane,"-27.46,153.02",2017-11-24T13:29:59Z,Rain,8.757980820542912,992,95,13,-27.0,153.0
202,Melbourne,"-37.83,144.98,7",2017-11-24T13:29:59Z,Very Cold,-0.007614288809065783,1011,17,13,-37.0,144.0
203,Adelaide,"-34.92,138.62,48",2017-11-24T13:29:59Z,Very Cold,9.844253879295081,1014,67,13,-34.0,138.0
204,Perth,"-31.95,115.86",2017-11-24T13:29:59Z,Cold,12.376991119173113,1015,62,13,-31.0,115.0
205,Darwin,"-12.46,130.84",2017-11-24T13:29:59Z,Very Cold,9.719174270209976,1006,8,13,-12.0,130.0
206,Canberra,"-35.28,149.13",2017-11-24T13:29:59Z,Very Cold,-7.041781748561334,986,22,13,-35.0,149.0
207,GoldCoast,"-28.07,153.44",2017-11-24T13:29:59Z,Cold,11.724467292998042,1020,53,13,-28.0,153.0
208,Hobart,"-42.85,147.29",2017-11-24T13:29:59Z,Very Cold,1.5137657716368835,1016,34,13,-42.0,147.0
209,Cairns,"-16.92,145.75",2017-11-24T13:29:59Z,Cold,10.257819263854174,990,70,13,-16.0,145.0
210,Sydney,"-33.86,151.21,39",2017-11-24T14:29:59Z,Rain,4.195082835618109,986,94,14,-33.0,151.0
211,Brisbane,"-27.46,153.02",2017-11-24T14:29:59Z,Very Cold,-1.9578917756567193,984,36,14,-27.0,153.0
212,Melbourne,"-37.83,144.98,7",2017-11-24T14:29:59Z,Rain,7.885660711540027,1003,90,14,-37.0,144.0
213,Adelaide,"-34.92,138.62,48",2017-11-24T14:29:59Z,Very Cold,-4.663330435916919,982,38,14,-34.0,138.0
214,Perth,"-31.95,115.86",2017-11-24T14:29:59Z,Very Cold,5.180676683438151,1015,9,14,-31.0,115.0
215,Darwin,"-12.46,130.84",2017-11-24T14:29:59Z,Cold,13.226334958680866,995,57,14,-12.0,130.0
216,Canberra,"-35.28,149.13",2017-11-24T14:29:59Z,Rain,8.501875719769657,1003,90,14,-35.0,149.0
217,GoldCoast,"-28.07,153.44",2017-11-24T14:29:59Z,Rain,14.385757636171206,1009,96,14,-28.0,153.0
218,Hobart,"-42.85,147.29",2017-11-24T14:29:59Z,Very Cold,-11.181785268212877,989,6,14,-42.0,147.0
219,Cairns,"-16.92,145.75",2017-11-24T14:29:59Z,Very Cold,9.755527589254541,994,55,14,-16.0,145.0
220,Sydney,"-33.86,151.21,39",2017-11-24T15:29:59Z,Very Cold,-3.4399509672726367,983,45,15,-33.0,151.0
221,Brisbane,"-27.46,153.02",2017-11-24T15:29:59Z,Very Cold,3.9992351126340964,1001,36,15,-27.0,153.0
