Location,Position,LocalTime,Conditions,Temperature,Pressure,Humidity
Brisbane,"-27.46,153.02",2017-11-23T20:29:59Z,,,996,70
Melbourne,"-37.83,144.98,7",2017-11-23T20:29:59Z,,,984,87
Adelaide,"-34.92,138.62,48",2017-11-23T20:29:59Z,,,997,82
Perth,"-31.95,115.86",2017-11-23T20:29:59Z,,,1012,60
Darwin,"-12.46,130.84",2017-11-23T20:29:59Z,,,984,47
Canberra,"-35.28,149.13",2017-11-23T20:29:59Z,,,980,79
GoldCoast,"-28.07,153.44",2017-11-23T20:29:59Z,,,1019,42
Hobart,"-42.85,147.29",2017-11-23T20:29:59Z,,,998,91
Cairns,"-16.92,145.75",2017-11-23T20:29:59Z,,,986,71
Sydney,"-33.86,151.21,39",2017-11-23T21:29:59Z,,,1006,28
Brisbane,"-27.46,153.02",2017-11-23T21:29:59Z,,,992,15
Melbourne,"-37.83,144.98,7",2017-11-23T21:29:59Z,,,998,36
Adelaide,"-34.92,138.62,48",2017-11-23T21:29:59Z,,,982,30
Perth,"-31.95,115.86",2017-11-23T21:29:59Z,,,1010,64
Darwin,"-12.46,130.84",2017-11-23T21:29:59Z,,,1005,15
Canberra,"-35.28,149.13",2017-11-23T21:29:59Z,,,1001,8
GoldCoast,"-28.07,153.44",2017-11-23T21:29:59Z,,,997,99
Hobart,"-42.85,147.29",2017-11-23T21:29:59Z,,,1009,100
Cairns,"-16.92,145.75",2017-11-23T21:29:59Z,,,993,89
Sydney,"-33.86,151.21,39",2017-11-23T22:29:59Z,,,999,18
Brisbane,"-27.46,153.02",2017-11-23T22:29:59Z,,,1011,55
Melbourne,"-37.83,144.98,7",2017-11-23T22:29:59Z,,,996,67
Adelaide,"-34.92,138.62,48",2017-11-23T22:29:59Z,,,994,95
Perth,"-31.95,115.86",2017-11-23T22:29:59Z,,,1000,40
Darwin,"-12.46,130.84",2017-11-23T22:29:59Z,,,1019,57
Canberra,"-35.28,149.13",2017-11-23T22:29:59Z,,,1015,26
GoldCoast,"-28.07,153.44",2017-11-23T22:29:59Z,,,994,98
Hobart,"-42.85,147.29",2017-11-23T22:29:59Z,,,1013,65
Cairns,"-16.92,145.75",2017-11-23T22:29:59Z,,,991,94
Sydney,"-33.86,151.21,39",2017-11-23T23:29:59Z,,,1002,25
Brisbane,"-27.46,153.02",2017-11-23T23:29:59Z,,,1017,36
Melbourne,"-37.83,144.98,7",2017-11-23T23:29:59Z,,,1006,85
Adelaide,"-34.92,138.62,48",2017-11-23T23:29:59Z,,,985,85
Perth,"-31.95,115.86",2017-11-23T23:29:59Z,,,1000,59
Darwin,"-12.46,130.84",2017-11-23T23:29:59Z,,,1005,64
Canberra,"-35.28,149.13",2017-11-23T23:29:59Z,,,1018,80
GoldCoast,"-28.07,153.44",2017-11-23T23:29:59Z,,,984,14
Hobart,"-42.85,147.29",2017-11-23T23:29:59Z,,,990,51
Cairns,"-16.92,145.75",2017-11-23T23:29:59Z,,,995,82
Sydney,"-33.86,151.21,39",2017-11-24T00:29:59Z,,,988,3
Brisbane,"-27.46,153.02",2017-11-24T00:29:59Z,,,1019,2
Melbourne,"-37.83,144.98,7",2017-11-24T00:29:59Z,,,1011,34
Adelaide,"-34.92,138.62,48",2017-11-24T00:29:59Z,,,996,84
Perth,"-31.95,115.86",2017-11-24T00:29:59Z,,,1005,19
Darwin,"-12.46,130.84",2017-11-24T00:29:59Z,,,1003,99
Canberra,"-35.28,149.13",2017-11-24T00:29:59Z,,,997,38
GoldCoast,"-28.07,153.44",2017-11-24T00:29:59Z,,,983,56
Hobart,"-42.85,147.29",2017-11-24T00:29:59Z,,,1013,8
Cairns,"-16.92,145.75",2017-11-24T00:29:59Z,,,1020,93
Sydney,"-33.86,151.21,39",2017-11-24T01:29:59Z,,,1004,94
Brisbane,"-27.46,153.02",2017-11-24T01:29:59Z,,,985,8
Melbourne,"-37.83,144.98,7",2017-11-24T01:29:59Z,,,1012,11
Adelaide,"-34.92,138.62,48",2017-11-24T01:29:59Z,,,983,41
Perth,"-31.95,115.86",2017-11-24T01:29:59Z,,,1013,84
Darwin,"-12.46,130.84",2017-11-24T01:29:59Z,,,985,19
Canberra,"-35.28,149.13",2017-11-24T01:29:59Z,,,999,61
GoldCoast,"-28.07,153.44",2017-11-24T01:29:59Z,,,985,70
Hobart,"-42.85,147.29",2017-11-24T01:29:59Z,,,980,19
Cairns,"-16.92,145.75",2017-11-24T01:29:59Z,,,980,82
Sydney,"-33.86,151.21,39",2017-11-24T02:29:59Z,,,1012,85
Brisbane,"-27.46,153.02",2017-11-24T02:29:59Z,,,990,73
Melbourne,"-37.83,144.98,7",2017-11-24T02:29:59Z,,,991,20
Adelaide,"-34.92,138.62,48",2017-11-24T02:29:59Z,,,1006,33
Perth,"-31.95,115.86",2017-11-24T02:29:59Z,,,990,77
Darwin,"-12.46,130.84",2017-11-24T02:29:59Z,,,1012,67
Canberra,"-35.28,149.13",2017-11-24T02:29:59Z,,,996,4
GoldCoast,"-28.07,153.44",2017-11-24T02:29:59Z,,,994,82
Hobart,"-42.85,147.29",2017-11-24T02:29:59Z,,,982,8
Cairns,"-16.92,145.75",2017-11-24T02:29:59Z,,,1017,68
Sydney,"-33.86,151.21,39",2017-11-24T03:29:59Z,,,986,25
Brisbane,"-27.46,153.02",2017-11-24T03:29:59Z,,,1020,22
Melbourne,"-37.83,144.98,7",2017-11-24T03:29:59Z,,,1009,50
Adelaide,"-34.92,138.62,48",2017-11-24T03:29:59Z,,,1013,77
Perth,"-31.95,115.86",2017-11-24T03:29:59Z,,,1008,4
Darwin,"-12.46,130.84",2017-11-24T03:29:59Z,,,990,73
Canberra,"-35.28,149.13",2017-11-24T03:29:59Z,,,992,55
GoldCoast,"-28.07,153.44",2017-11-24T03:29:59Z,,,996,65
Hobart,"-42.85,147.29",2017-11-24T03:29:59Z,,,997,37
Cairns,"-16.92,145.75",2017-11-24T03:29:59Z,,,985,50
Sydney,"-33.86,151.21,39",2017-11-24T04:29:59Z,,,988,68
Brisbane,"-27.46,153.02",2017-11-24T04:29:59Z,,,988,34
Melbourne,"-37.83,144.98,7",2017-11-24T04:29:59Z,,,991,98
Adelaide,"-34.92,138.62,48",2017-11-24T04:29:59Z,,,998,56
Perth,"-31.95,115.86",2017-11-24T04:29:59Z,,,984,79
Darwin,"-12.46,130.84",2017-11-24T04:29:59Z,,,1001,36
Canberra,"-35.28,149.13",2017-11-24T04:29:59Z,,,980,70
GoldCoast,"-28.07,153.44",2017-11-24T04:29:59Z,,,992,70
Hobart,"-42.85,147.29",2017-11-24T04:29:59Z,,,989,90
Cairns,"-16.92,145.75",2017-11-24T04:29:59Z,,,1016,53
Sydney,"-33.86,151.21,39",2017-11-24T05:29:59Z,,,1012,38
Brisbane,"-27.46,153.02",2017-11-24T05:29:59Z,,,991,87
Melbourne,"-37.83,144.98,7",2017-11-24T05:29:59Z,,,990,83
Adelaide,"-34.92,138.62,48",2017-11-24T05:29:59Z,,,1012,43
Perth,"-31.95,115.86",2017-11-24T05:29:59Z,,,990,85
Darwin,"-12.46,130.84",2017-11-24T05:29:59Z,,,1002,2
Canberra,"-35.28,149.13",2017-11-24T05:29:59Z,,,984,10
GoldCoast,"-28.07,153.44",2017-11-24T05:29:59Z,,,991,15
Hobart,"-42.85,147.29",2017-11-24T05:29:59Z,,,1007,74
Cairns,"-16.92,145.75",2017-11-24T05:29:59Z,,,1002,11
Sydney,"-33.86,151.21,39",2017-11-24T06:29:59Z,,,1003,37
Brisbane,"-27.46,153.02",2017-11-24T06:29:59Z,,,1018,47
Melbourne,"-37.83,144.98,7",2017-11-24T06:29:59Z,,,997,81
Adelaide,"-34.92,138.62,48",2017-11-24T06:29:59Z,,,1007,68
Perth,"-31.95,115.86",2017-11-24T06:29:59Z,,,1010,57
Darwin,"-12.46,130.84",2017-11-24T06:29:59Z,,,991,91
Canberra,"-35.28,149.13",2017-11-24T06:29:59Z,,,984,19
GoldCoast,"-28.07,153.44",2017-11-24T06:29:59Z,,,1007,26
Hobart,"-42.85,147.29",2017-11-24T06:29:59Z,,,982,39
Cairns,"-16.92,145.75",2017-11-24T06:29:59Z,,,1019,19
Sydney,"-33.86,151.21,39",2017-11-24T07:29:59Z,,,1011,22
Brisbane,"-27.46,153.02",2017-11-24T07:29:59Z,,,1011,66
Melbourne,"-37.83,144.98,7",2017-11-24T07:29:59Z,,,982,88
Adelaide,"-34.92,138.62,48",2017-11-24T07:29:59Z,,,989,55
Perth,"-31.95,115.86",2017-11-24T07:29:59Z,,,1000,29
Darwin,"-12.46,130.84",2017-11-24T07:29:59Z,,,1012,44
Canberra,"-35.28,149.13",2017-11-24T07:29:59Z,,,995,31
GoldCoast,"-28.07,153.44",2017-11-24T07:29:59Z,,,993,71
Hobart,"-42.85,147.29",2017-11-24T07:29:59Z,,,1015,68
Cairns,"-16.92,145.75",2017-11-24T07:29:59Z,,,998,37
Sydney,"-33.86,151.21,39",2017-11-24T08:29:59Z,,,1012,79
Brisbane,"-27.46,153.02",2017-11-24T08:29:59Z,,,1008,34
Melbourne,"-37.83,144.98,7",2017-11-24T08:29:59Z,,,1004,68
Adelaide,"-34.92,138.62,48",2017-11-24T08:29:59Z,,,995,4
Perth,"-31.95,115.86",2017-11-24T08:29:59Z,,,986,41
Darwin,"-12.46,130.84",2017-11-24T08:29:59Z,,,983,84
Canberra,"-35.28,149.13",2017-11-24T08:29:59Z,,,985,98
GoldCoast,"-28.07,153.44",2017-11-24T08:29:59Z,,,1016,83
Hobart,"-42.85,147.29",2017-11-24T08:29:59Z,,,991,53
Cairns,"-16.92,145.75",2017-11-24T08:29:59Z,,,989,36
Sydney,"-33.86,151.21,39",2017-11-24T09:29:59Z,,,1005,86
Brisbane,"-27.46,153.02",2017-11-24T09:29:59Z,,,1014,75
Melbourne,"-37.83,144.98,7",2017-11-24T09:29:59Z,,,1015,2
Adelaide,"-34.92,138.62,48",2017-11-24T09:29:59Z,,,991,60
Perth,"-31.95,115.86",2017-11-24T09:29:59Z,,,994,20
Darwin,"-12.46,130.84",2017-11-24T09:29:59Z,,,1012,71
Canberra,"-35.28,149.13",2017-11-24T09:29:59Z,,,1020,81
GoldCoast,"-28.07,153.44",2017-11-24T09:29:59Z,,,980,13
Hobart,"-42.85,147.29",2017-11-24T09:29:59Z,,,988,60
Cairns,"-16.92,145.75",2017-11-24T09:29:59Z,,,1010,2
Sydney,"-33.86,151.21,39",2017-11-24T10:29:59Z,,,999,25
Brisbane,"-27.46,153.02",2017-11-24T10:29:59Z,,,998,91
Melbourne,"-37.83,144.98,7",2017-11-24T10:29:59Z,,,989,97
Adelaide,"-34.92,138.62,48",2017-11-24T10:29:59Z,,,994,90
Perth,"-31.95,115.86",2017-11-24T10:29:59Z,,,1020,52
Darwin,"-12.46,130.84",2017-11-24T10:29:59Z,,,1004,44
Canberra,"-35.28,149.13",2017-11-24T10:29:59Z,,,1000,33
GoldCoast,"-28.07,153.44",2017-11-24T10:29:59Z,,,992,73
Hobart,"-42.85,147.29",2017-11-24T10:29:59Z,,,993,31
Cairns,"-16.92,145.75",2017-11-24T10:29:59Z,,,1001,77
Sydney,"-33.86,151.21,39",2017-11-24T11:29:59Z,,,999,100
Brisbane,"-27.46,153.02",2017-11-24T11:29:59Z,,,1016,90
Melbourne,"-37.83,144.98,7",2017-11-24T11:29:59Z,,,1016,19
Adelaide,"-34.92,138.62,48",2017-11-24T11:29:59Z,,,1002,34
Perth,"-31.95,115.86",2017-11-24T11:29:59Z,,,1017,90
Darwin,"-12.46,130.84",2017-11-24T11:29:59Z,,,993,53
Canberra,"-35.28,149.13",2017-11-24T11:29:59Z,,,992,45
GoldCoast,"-28.07,153.44",2017-11-24T11:29:59Z,,,1012,29
Hobart,"-42.85,147.29",2017-11-24T11:29:59Z,,,1011,63
Cairns,"-16.92,145.75",2017-11-24T11:29:59Z,,,1012,83
Sydney,"-33.86,151.21,39",2017-11-24T12:29:59Z,,,987,49
Brisbane,"-27.46,153.02",2017-11-24T12:29:59Z,,,1014,39
Melbourne,"-37.83,144.98,7",2017-11-24T12:29:59Z,,,1013,28
Adelaide,"-34.92,138.62,48",2017-11-24T12:29:59Z,,,1015,13
Perth,"-31.95,115.86",2017-11-24T12:29:59Z,,,1018,32
Darwin,"-12.46,130.84",2017-11-24T12:29:59Z,,,1009,77
Canberra,"-35.28,149.13",2017-11-24T12:29:59Z,,,1014,4
GoldCoast,"-28.07,153.44",2017-11-24T12:29:59Z,,,1013,68
Hobart,"-42.85,147.29",2017-11-24T12:29:59Z,,,1000,33
Cairns,"-16.92,145.75",2017-11-24T12:29:59Z,,,981,77
Sydney,"-33.86,151.21,39",2017-11-24T13:29:59Z,,,1018,28
Brisbane,"-27.46,153.02",2017-11-24T13:29:59Z,,,992,95
Melbourne,"-37.83,144.98,7",2017-11-24T13:29:59Z,,,1011,17
Adelaide,"-34.92,138.62,48",2017-11-24T13:29:59Z,,,1014,67
Perth,"-31.95,115.86",2017-11-24T13:29:59Z,,,1015,62
Darwin,"-12.46,130.84",2017-11-24T13:29:59Z,,,1006,8
Canberra,"-35.28,149.13",2017-11-24T13:29:59Z,,,986,22
GoldCoast,"-28.07,153.44",2017-11-24T13:29:59Z,,,1020,53
Hobart,"-42.85,147.29",2017-11-24T13:29:59Z,,,1016,34
Cairns,"-16.92,145.75",2017-11-24T13:29:59Z,,,990,70
Sydney,"-33.86,151.21,39",2017-11-24T14:29:59Z,,,986,94
Brisbane,"-27.46,153.02",2017-11-24T14:29:59Z,,,984,36
Melbourne,"-37.83,144.98,7",2017-11-24T14:29:59Z,,,1003,90
Adelaide,"-34.92,138.62,48",2017-11-24T14:29:59Z,,,982,38
Perth,"-31.95,115.86",2017-11-24T14:29:59Z,,,1015,9
Darwin,"-12.46,130.84",2017-11-24T14:29:59Z,,,995,57
Canberra,"-35.28,149.13",2017-11-24T14:29:59Z,,,1003,90
GoldCoast,"-28.07,153.44",2017-11-24T14:29:59Z,,,1009,96
Hobart,"-42.85,147.29",2017-11-24T14:29:59Z,,,989,6
Cairns,"-16.92,145.75",2017-11-24T14:29:59Z,,,994,55
Sydney,"-33.86,151.21,39",2017-11-24T15:29:59Z,,,983,45
Brisbane,"-27.46,153.02",2017-11-24T15:29:59Z,,,1001,36
Melbourne,"-37.83,144.98,7",2017-11-24T15:29:59Z,,,1015,10
Adelaide,"-34.92,138.62,48",2017-11-24T15:29:59Z,,,1018,86
Perth,"-31.95,115.86",2017-11-24T15:29:59Z,,,993,95
Darwin,"-12.46,130.84",2017-11-24T15:29:59Z,,,998,63
Canberra,"-35.28,149.13",2017-11-24T15:29:59Z,,,983,89
GoldCoast,"-28.07,153.44",2017-11-24T15:29:59Z,,,1019,95
Hobart,"-42.85,147.29",2017-11-24T15:29:59Z,,,1020,19
Cairns,"-16.92,145.75",2017-11-24T15:29:59Z,,,1017,42
Sydney,"-33.86,151.21,39",2017-11-24T16:29:59Z,,,1005,19
Brisbane,"-27.46,153.02",2017-11-24T16:29:59Z,,,983,79
Melbourne,"-37.83,144.98,7",2017-11-24T16:29:59Z,,,1011,83
Adelaide,"-34.92,138.62,48",2017-11-24T16:29:59Z,,,1019,31
Perth,"-31.95,115.86",2017-11-24T16:29:59Z,,,1001,42
Darwin,"-12.46,130.84",2017-11-24T16:29:59Z,,,994,55
Canberra,"-35.28,149.13",2017-11-24T16:29:59Z,,,1003,37
GoldCoast,"-28.07,153.44",2017-11-24T16:29:59Z,,,1019,94
Hobart,"-42.85,147.29",2017-11-24T16:29:59Z,,,982,31
Cairns,"-16.92,145.75",2017-11-24T16:29:59Z,,,981,99
